TreeNo	BHD	Species	ForestDistrict
1	67.76	Pseudotsuga Menziesii	BAR
2	60.43	Pseudotsuga Menziesii	BAR
3	52.98	Pseudotsuga Menziesii	BAR
4	65.35	Pseudotsuga Menziesii	BAR
5	59.76	Pseudotsuga Menziesii	BAR
6	73.60	Pseudotsuga Menziesii	BAR
7	61.27	Pseudotsuga Menziesii	BAR
8	59.46	Pseudotsuga Menziesii	BAR
9	60.01	Pseudotsuga Menziesii	BAR
10	56.24	Pseudotsuga Menziesii	BAR
11	61.21	Pseudotsuga Menziesii	BAR
12	70.65	Pseudotsuga Menziesii	BAR
13	59.61	Pseudotsuga Menziesii	BAR
14	59.77	Pseudotsuga Menziesii	BAR
15	59.53	Pseudotsuga Menziesii	BAR
16	64.10	Pseudotsuga Menziesii	BAR
17	67.07	Pseudotsuga Menziesii	BAR
18	68.28	Pseudotsuga Menziesii	BAR
19	57.82	Pseudotsuga Menziesii	BAR
20	59.49	Pseudotsuga Menziesii	BAR
21	55.05	Pseudotsuga Menziesii	BAR
22	62.97	Pseudotsuga Menziesii	BAR
23	61.73	Pseudotsuga Menziesii	BAR
24	46.39	Pseudotsuga Menziesii	BAR
25	63.33	Pseudotsuga Menziesii	BAR
26	67.48	Pseudotsuga Menziesii	BAR
27	65.31	Pseudotsuga Menziesii	BAR
28	66.59	Pseudotsuga Menziesii	BAR
29	63.70	Pseudotsuga Menziesii	BAR
30	63.79	Pseudotsuga Menziesii	BAR
31	62.52	Pseudotsuga Menziesii	BAR
32	67.67	Pseudotsuga Menziesii	BAR
33	66.14	Pseudotsuga Menziesii	BAR
34	61.56	Pseudotsuga Menziesii	BAR
35	67.40	Pseudotsuga Menziesii	BAR
36	61.01	Pseudotsuga Menziesii	BAR
37	62.98	Pseudotsuga Menziesii	BAR
38	69.63	Pseudotsuga Menziesii	BAR
39	70.47	Pseudotsuga Menziesii	BAR
40	58.54	Pseudotsuga Menziesii	BAR
41	75.24	Pseudotsuga Menziesii	BAR
42	52.28	Pseudotsuga Menziesii	BAR
43	66.06	Pseudotsuga Menziesii	BAR
44	61.03	Pseudotsuga Menziesii	BAR
45	56.60	Pseudotsuga Menziesii	BAR
46	66.63	Pseudotsuga Menziesii	BAR
47	62.99	Pseudotsuga Menziesii	BAR
48	56.57	Pseudotsuga Menziesii	BAR
49	58.26	Pseudotsuga Menziesii	BAR
50	55.79	Pseudotsuga Menziesii	BAR
51	56.28	Pseudotsuga Menziesii	BAR
52	60.11	Pseudotsuga Menziesii	BAR
53	64.33	Pseudotsuga Menziesii	BAR
54	47.78	Pseudotsuga Menziesii	BAR
55	75.03	Pseudotsuga Menziesii	BAR
56	68.37	Pseudotsuga Menziesii	BAR
57	61.87	Pseudotsuga Menziesii	BAR
58	70.11	Pseudotsuga Menziesii	BAR
59	69.85	Pseudotsuga Menziesii	BAR
60	70.58	Pseudotsuga Menziesii	BAR
61	63.17	Pseudotsuga Menziesii	BAR
62	66.20	Pseudotsuga Menziesii	BAR
63	57.07	Pseudotsuga Menziesii	BAR
64	68.89	Pseudotsuga Menziesii	BAR
65	51.54	Pseudotsuga Menziesii	BAR
66	64.84	Pseudotsuga Menziesii	BAR
67	57.22	Pseudotsuga Menziesii	BAR
68	65.64	Pseudotsuga Menziesii	BAR
69	53.44	Pseudotsuga Menziesii	BAR
70	76.07	Pseudotsuga Menziesii	BAR
71	55.84	Pseudotsuga Menziesii	BAR
72	64.20	Pseudotsuga Menziesii	BAR
73	69.71	Pseudotsuga Menziesii	BAR
74	64.46	Pseudotsuga Menziesii	BAR
75	52.90	Pseudotsuga Menziesii	BAR
76	58.21	Pseudotsuga Menziesii	BAR
77	64.04	Pseudotsuga Menziesii	BAR
78	72.99	Pseudotsuga Menziesii	BAR
79	68.10	Pseudotsuga Menziesii	BAR
80	57.91	Pseudotsuga Menziesii	BAR
81	59.42	Pseudotsuga Menziesii	BAR
82	66.21	Pseudotsuga Menziesii	BAR
83	64.34	Pseudotsuga Menziesii	BAR
84	63.06	Pseudotsuga Menziesii	UM
85	76.66	Pseudotsuga Menziesii	UM
86	62.82	Pseudotsuga Menziesii	UM
