Tree_ID	Volume	Health_state
2	1.789	5
4	1.451	5
5	1.343	5
6	1.370	5
7	1.298	5
12	1.552	5
15	1.638	5
16	1.364	5
17	1.443	5
19	2.121	5
26	1.890	5
30	1.606	5
36	1.806	5
37	1.558	5
40	1.533	5
51	1.542	5
52	1.250	5
59	1.802	5
61	1.489	5
62	1.501	5
63	1.632	5
1	1.899	7
3	1.817	7
11	1.798	7
13	1.766	7
15	1.766	7
18	2.204	7
23	2.355	7
28	1.804	7
31	1.800	7
33	1.485	7
34	1.705	7
35	1.666	7
39	1.708	7
41	1.750	7
42	2.020	7
43	1.908	7
46	1.805	7
49	1.918	7
50	1.992	7
54	2.020	7
58	1.890	7
8	1.624	9
9	1.844	9
10	1.805	9
20	2.075	9
21	1.904	9
22	1.708	9
24	1.729	9
25	1.450	9
27	1.900	9
29	2.109	9
32	2.004	9
38	2.244	9
44	2.022	9
45	1.938	9
47	1.800	9
48	1.920	9
53	2.138	9
55	2.017	9
56	2.004	9
57	1.900	9
60	1.934	9
